100|2024-02-01|101|1|1299.99|5010|East
101|2024-02-01|102|3|89.97|5011|West
102|2024-02-01|106|2|699.98|5012|Central
103|2024-02-02|104|1|399.99|5013|East
104|2024-02-02|107|4|519.96|5014|West
105|2024-02-03|103|5|249.95|5015|Central
106|2024-02-03|108|2|159.98|5016|East
107|2024-02-04|105|1|599.99|5017|West
108|2024-02-04|109|10|399.90|5018|Central
109|2024-02-05|110|25|324.75|5019|East
110|2024-02-05|101|2|2599.98|5020|West
111|2024-02-06|106|1|349.99|5021|Central
112|2024-02-06|102|8|239.92|5022|East
113|2024-02-07|107|3|389.97|5023|West
114|2024-02-07|104|2|799.98|5024|Central
115|2024-02-08|101|1|1299.99|5025|East
116|2024-02-08|103|6|299.94|5026|West
117|2024-02-09|108|1|79.99|5027|Central
118|2024-02-09|105|1|599.99|5028|East
119|2024-02-10|109|5|199.95|5029|West
